[82, array([ 0.4792, -0.031 ]), array([ 0.47750952, -0.02957619]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47765714, -0.02957619]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47780476, -0.02957619]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47795238, -0.02957619]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.4781    , -0.02957619]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.475     , -0.02942857]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47514762, -0.02942857]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47529524, -0.02942857]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47544286, -0.02942857]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47559048, -0.02942857]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.4757381 , -0.02942857]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47588571, -0.02942857]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47603333, -0.02942857]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47618095, -0.02942857]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47632857, -0.02942857]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47647619, -0.02942857]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47662381, -0.02942857]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47677143, -0.02942857]), 0.7854, 1.0]
[82, array([ 0.4792, -0.031 ]), array([ 0.47691905, -0.02942857]), 0.7854, 1.0]
