[84, array([ 0.499 , -0.0179]), array([ 0.4969, -0.0187]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.4976381 , -0.01840476]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49778571, -0.01840476]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49793333, -0.01840476]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49808095, -0.01840476]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49822857, -0.01840476]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49837619, -0.01840476]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49852381, -0.01840476]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49867143, -0.01840476]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49881905, -0.01840476]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49896667, -0.01840476]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49911429, -0.01840476]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.4992619 , -0.01840476]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49940952, -0.01840476]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49955714, -0.01840476]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49970476, -0.01840476]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49985238, -0.01840476]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.5       , -0.01840476]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.4969    , -0.01825714]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49704762, -0.01825714]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49719524, -0.01825714]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49734286, -0.01825714]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49749048, -0.01825714]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.4976381 , -0.01825714]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49778571, -0.01825714]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49793333, -0.01825714]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49808095, -0.01825714]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49822857, -0.01825714]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49837619, -0.01825714]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49852381, -0.01825714]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49867143, -0.01825714]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49881905, -0.01825714]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49896667, -0.01825714]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49911429, -0.01825714]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.4992619 , -0.01825714]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49940952, -0.01825714]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49955714, -0.01825714]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49970476, -0.01825714]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49985238, -0.01825714]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.5       , -0.01825714]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.4969    , -0.01810952]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49704762, -0.01810952]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49719524, -0.01810952]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49734286, -0.01810952]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49749048, -0.01810952]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.4976381 , -0.01810952]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49778571, -0.01810952]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49793333, -0.01810952]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49808095, -0.01810952]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49822857, -0.01810952]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49837619, -0.01810952]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49852381, -0.01810952]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49867143, -0.01810952]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49881905, -0.01810952]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49896667, -0.01810952]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49911429, -0.01810952]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.4992619 , -0.01810952]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49940952, -0.01810952]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49955714, -0.01810952]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49970476, -0.01810952]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49985238, -0.01810952]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.5       , -0.01810952]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.4969   , -0.0179619]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49704762, -0.0179619 ]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49719524, -0.0179619 ]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49734286, -0.0179619 ]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49749048, -0.0179619 ]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.4976381, -0.0179619]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49778571, -0.0179619 ]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49793333, -0.0179619 ]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49808095, -0.0179619 ]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49822857, -0.0179619 ]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49837619, -0.0179619 ]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49852381, -0.0179619 ]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49867143, -0.0179619 ]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49881905, -0.0179619 ]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49896667, -0.0179619 ]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49911429, -0.0179619 ]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.4992619, -0.0179619]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49940952, -0.0179619 ]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49955714, -0.0179619 ]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49970476, -0.0179619 ]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49985238, -0.0179619 ]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.5      , -0.0179619]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.4969    , -0.01781429]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49704762, -0.01781429]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49719524, -0.01781429]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49734286, -0.01781429]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49749048, -0.01781429]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.4976381 , -0.01781429]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49778571, -0.01781429]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49793333, -0.01781429]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49808095, -0.01781429]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49822857, -0.01781429]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49837619, -0.01781429]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49852381, -0.01781429]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49867143, -0.01781429]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49881905, -0.01781429]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49896667, -0.01781429]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49911429, -0.01781429]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.4992619 , -0.01781429]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49940952, -0.01781429]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49955714, -0.01781429]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49970476, -0.01781429]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49985238, -0.01781429]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.5       , -0.01781429]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.4969    , -0.01766667]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49704762, -0.01766667]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49719524, -0.01766667]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49734286, -0.01766667]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49749048, -0.01766667]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.4976381 , -0.01766667]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49778571, -0.01766667]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49793333, -0.01766667]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49808095, -0.01766667]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49822857, -0.01766667]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49837619, -0.01766667]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49852381, -0.01766667]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49867143, -0.01766667]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49881905, -0.01766667]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49896667, -0.01766667]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49911429, -0.01766667]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.4992619 , -0.01766667]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49940952, -0.01766667]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49955714, -0.01766667]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49970476, -0.01766667]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49985238, -0.01766667]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.5       , -0.01766667]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.4969    , -0.01751905]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49704762, -0.01751905]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49719524, -0.01751905]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49734286, -0.01751905]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49749048, -0.01751905]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.4976381 , -0.01751905]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49778571, -0.01751905]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49793333, -0.01751905]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49808095, -0.01751905]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49822857, -0.01751905]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49837619, -0.01751905]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49852381, -0.01751905]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49867143, -0.01751905]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49881905, -0.01751905]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49896667, -0.01751905]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49911429, -0.01751905]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.4992619 , -0.01751905]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49940952, -0.01751905]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49955714, -0.01751905]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49970476, -0.01751905]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49985238, -0.01751905]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.5       , -0.01751905]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.4969    , -0.01737143]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49704762, -0.01737143]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49719524, -0.01737143]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49734286, -0.01737143]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49749048, -0.01737143]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.4976381 , -0.01737143]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49778571, -0.01737143]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49793333, -0.01737143]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49808095, -0.01737143]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49822857, -0.01737143]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49837619, -0.01737143]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49852381, -0.01737143]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49867143, -0.01737143]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49881905, -0.01737143]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49896667, -0.01737143]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49911429, -0.01737143]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.4992619 , -0.01737143]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49940952, -0.01737143]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49955714, -0.01737143]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49970476, -0.01737143]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49985238, -0.01737143]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.5       , -0.01737143]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.4969    , -0.01722381]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49704762, -0.01722381]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49719524, -0.01722381]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49734286, -0.01722381]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49749048, -0.01722381]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.4976381 , -0.01722381]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49778571, -0.01722381]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49793333, -0.01722381]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49808095, -0.01722381]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49822857, -0.01722381]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49837619, -0.01722381]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49852381, -0.01722381]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49867143, -0.01722381]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49881905, -0.01722381]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49896667, -0.01722381]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49911429, -0.01722381]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.4992619 , -0.01722381]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49940952, -0.01722381]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49955714, -0.01722381]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49970476, -0.01722381]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49985238, -0.01722381]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.5       , -0.01722381]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.4969    , -0.01707619]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49704762, -0.01707619]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49719524, -0.01707619]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49734286, -0.01707619]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49749048, -0.01707619]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.4976381 , -0.01707619]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49778571, -0.01707619]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49793333, -0.01707619]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49808095, -0.01707619]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49822857, -0.01707619]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49837619, -0.01707619]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49852381, -0.01707619]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49867143, -0.01707619]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49881905, -0.01707619]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49896667, -0.01707619]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49911429, -0.01707619]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.4992619 , -0.01707619]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49940952, -0.01707619]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49955714, -0.01707619]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49970476, -0.01707619]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49985238, -0.01707619]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.5       , -0.01707619]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.4969    , -0.01692857]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49704762, -0.01692857]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49719524, -0.01692857]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49734286, -0.01692857]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49749048, -0.01692857]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.4976381 , -0.01692857]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49778571, -0.01692857]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49793333, -0.01692857]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49808095, -0.01692857]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49822857, -0.01692857]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49837619, -0.01692857]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49852381, -0.01692857]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49867143, -0.01692857]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49881905, -0.01692857]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49896667, -0.01692857]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49911429, -0.01692857]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.4992619 , -0.01692857]), 0.7854, 0.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49940952, -0.01692857]), 0.7854, 1.0]
[84, array([ 0.499 , -0.0179]), array([ 0.49955714, -0.01692857]), 0.7854, 0.0]
