[84, array([ 0.4701, -0.0264]), array([ 0.4688, -0.0281]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.4688    , -0.02795238]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46894762, -0.02795238]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46909524, -0.02795238]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46924286, -0.02795238]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46939048, -0.02795238]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.4695381 , -0.02795238]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46968571, -0.02795238]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46983333, -0.02795238]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46998095, -0.02795238]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47012857, -0.02795238]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47027619, -0.02795238]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47042381, -0.02795238]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47057143, -0.02795238]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47071905, -0.02795238]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47086667, -0.02795238]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47101429, -0.02795238]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.4711619 , -0.02795238]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47130952, -0.02795238]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47145714, -0.02795238]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47160476, -0.02795238]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47175238, -0.02795238]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.4719    , -0.02795238]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.4688    , -0.02780476]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46894762, -0.02780476]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46909524, -0.02780476]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46924286, -0.02780476]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46939048, -0.02780476]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.4695381 , -0.02780476]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46968571, -0.02780476]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46983333, -0.02780476]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46998095, -0.02780476]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47012857, -0.02780476]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47027619, -0.02780476]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47042381, -0.02780476]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47057143, -0.02780476]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47071905, -0.02780476]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47086667, -0.02780476]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47101429, -0.02780476]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.4711619 , -0.02780476]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47130952, -0.02780476]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47145714, -0.02780476]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47160476, -0.02780476]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47175238, -0.02780476]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.4719    , -0.02780476]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.4688    , -0.02765714]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46894762, -0.02765714]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46909524, -0.02765714]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46924286, -0.02765714]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46939048, -0.02765714]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.4695381 , -0.02765714]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46968571, -0.02765714]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46983333, -0.02765714]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46998095, -0.02765714]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47012857, -0.02765714]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47027619, -0.02765714]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47042381, -0.02765714]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47057143, -0.02765714]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47071905, -0.02765714]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47086667, -0.02765714]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47101429, -0.02765714]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.4711619 , -0.02765714]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47130952, -0.02765714]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47145714, -0.02765714]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47160476, -0.02765714]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47175238, -0.02765714]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.4719    , -0.02765714]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.4688    , -0.02750952]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46894762, -0.02750952]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46909524, -0.02750952]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46924286, -0.02750952]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46939048, -0.02750952]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.4695381 , -0.02750952]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46968571, -0.02750952]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46983333, -0.02750952]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46998095, -0.02750952]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47012857, -0.02750952]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47027619, -0.02750952]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47042381, -0.02750952]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47057143, -0.02750952]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47071905, -0.02750952]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47086667, -0.02750952]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47101429, -0.02750952]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.4711619 , -0.02750952]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47130952, -0.02750952]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47145714, -0.02750952]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47160476, -0.02750952]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47175238, -0.02750952]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.4719    , -0.02750952]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.4688   , -0.0273619]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46894762, -0.0273619 ]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46909524, -0.0273619 ]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46924286, -0.0273619 ]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46939048, -0.0273619 ]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.4695381, -0.0273619]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46968571, -0.0273619 ]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46983333, -0.0273619 ]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46998095, -0.0273619 ]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47012857, -0.0273619 ]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47027619, -0.0273619 ]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47042381, -0.0273619 ]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47057143, -0.0273619 ]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47071905, -0.0273619 ]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47086667, -0.0273619 ]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47101429, -0.0273619 ]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.4711619, -0.0273619]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47130952, -0.0273619 ]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47145714, -0.0273619 ]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47160476, -0.0273619 ]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47175238, -0.0273619 ]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.4719   , -0.0273619]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.4688    , -0.02721429]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46894762, -0.02721429]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46909524, -0.02721429]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46924286, -0.02721429]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46939048, -0.02721429]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.4695381 , -0.02721429]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46968571, -0.02721429]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46983333, -0.02721429]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46998095, -0.02721429]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47012857, -0.02721429]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47027619, -0.02721429]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47042381, -0.02721429]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47057143, -0.02721429]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47071905, -0.02721429]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47086667, -0.02721429]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47101429, -0.02721429]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.4711619 , -0.02721429]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47130952, -0.02721429]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47145714, -0.02721429]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47160476, -0.02721429]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47175238, -0.02721429]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.4719    , -0.02721429]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.4688    , -0.02706667]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46894762, -0.02706667]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46909524, -0.02706667]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46924286, -0.02706667]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46939048, -0.02706667]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.4695381 , -0.02706667]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46968571, -0.02706667]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46983333, -0.02706667]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46998095, -0.02706667]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47012857, -0.02706667]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47027619, -0.02706667]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47042381, -0.02706667]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47057143, -0.02706667]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47071905, -0.02706667]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47086667, -0.02706667]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47101429, -0.02706667]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.4711619 , -0.02706667]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47130952, -0.02706667]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47145714, -0.02706667]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47160476, -0.02706667]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47175238, -0.02706667]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.4719    , -0.02706667]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.4688    , -0.02691905]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46894762, -0.02691905]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46909524, -0.02691905]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46924286, -0.02691905]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46939048, -0.02691905]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.4695381 , -0.02691905]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46968571, -0.02691905]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46983333, -0.02691905]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46998095, -0.02691905]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47012857, -0.02691905]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47027619, -0.02691905]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47042381, -0.02691905]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47057143, -0.02691905]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47071905, -0.02691905]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47086667, -0.02691905]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47101429, -0.02691905]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.4711619 , -0.02691905]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47130952, -0.02691905]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47145714, -0.02691905]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47160476, -0.02691905]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47175238, -0.02691905]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.4719    , -0.02691905]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.4688    , -0.02677143]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46894762, -0.02677143]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46909524, -0.02677143]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46924286, -0.02677143]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46939048, -0.02677143]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.4695381 , -0.02677143]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46968571, -0.02677143]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46983333, -0.02677143]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46998095, -0.02677143]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47012857, -0.02677143]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47027619, -0.02677143]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47042381, -0.02677143]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47057143, -0.02677143]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47071905, -0.02677143]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47086667, -0.02677143]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47101429, -0.02677143]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.4711619 , -0.02677143]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47130952, -0.02677143]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47145714, -0.02677143]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47160476, -0.02677143]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47175238, -0.02677143]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.4719    , -0.02677143]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.4688    , -0.02662381]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46894762, -0.02662381]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46909524, -0.02662381]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46924286, -0.02662381]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46939048, -0.02662381]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.4695381 , -0.02662381]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46968571, -0.02662381]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46983333, -0.02662381]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46998095, -0.02662381]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47012857, -0.02662381]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47027619, -0.02662381]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47042381, -0.02662381]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47057143, -0.02662381]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47071905, -0.02662381]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47086667, -0.02662381]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47101429, -0.02662381]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.4711619 , -0.02662381]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47130952, -0.02662381]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47145714, -0.02662381]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47160476, -0.02662381]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47175238, -0.02662381]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.4719    , -0.02662381]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.4688    , -0.02647619]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46894762, -0.02647619]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46909524, -0.02647619]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46924286, -0.02647619]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46939048, -0.02647619]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.4695381 , -0.02647619]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46968571, -0.02647619]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46983333, -0.02647619]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46998095, -0.02647619]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47012857, -0.02647619]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47027619, -0.02647619]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47042381, -0.02647619]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47057143, -0.02647619]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47071905, -0.02647619]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47086667, -0.02647619]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47101429, -0.02647619]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.4711619 , -0.02647619]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47130952, -0.02647619]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47145714, -0.02647619]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47160476, -0.02647619]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47175238, -0.02647619]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.4719    , -0.02647619]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.4688    , -0.02632857]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46894762, -0.02632857]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46909524, -0.02632857]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46924286, -0.02632857]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46939048, -0.02632857]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.4695381 , -0.02632857]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46968571, -0.02632857]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46983333, -0.02632857]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.46998095, -0.02632857]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47012857, -0.02632857]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47027619, -0.02632857]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47042381, -0.02632857]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47057143, -0.02632857]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47071905, -0.02632857]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47086667, -0.02632857]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47101429, -0.02632857]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.4711619 , -0.02632857]), 0.7854, 1.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47130952, -0.02632857]), 0.7854, 0.0]
[84, array([ 0.4701, -0.0264]), array([ 0.47145714, -0.02632857]), 0.7854, 0.0]
